"ID"	"SiteFK"	"Circle"	"Orientation"	"Code"	"Species"
2395	1300	5	"C"	223	"American chestnut"
2396	1300	5	"D"	224	"Red maple"
2397	1300	5	"E"	225	"Red maple"
2398	1300	1	"A"	226	"Red oak"
2399	1300	1	"B"	227	"Red oak"
2400	1300	1	"C"	228	"Striped maple"
2401	1300	1	"D"	229	"Striped maple"
2402	1300	1	"E"	230	"American chestnut"
2403	1300	2	"A"	231	"American chestnut"
2404	1300	2	"B"	232	"Red maple"
2405	1300	2	"C"	233	"Red maple"
2406	1300	2	"D"	234	"Red oak"
2407	1300	2	"E"	235	"Red oak"
2408	1300	3	"A"	236	"Striped maple"
2409	1300	3	"B"	237	"Striped maple"
2410	1300	3	"C"	238	"8"
2411	1300	3	"D"	239	"8"
2412	1300	3	"E"	240	"9"
2413	1300	4	"A"	241	"9"
2414	1300	4	"B"	242	"American beech"
2415	1300	4	"C"	243	"American beech"
2416	1300	4	"D"	244	"American chestnut"
2417	1300	4	"E"	245	"American chestnut"
2418	1300	5	"A"	246	"Red maple"
2419	1300	5	"B"	247	"Red maple"
2420	1300	5	"C"	248	"Red oak"
2421	1300	5	"D"	249	"Red oak"
2422	1300	5	"E"	250	"Rhododendron"
2423	1300	1	"A"	251	"Rhododendron"
2424	1300	1	"B"	252	"Serviceberry"
2425	1300	1	"C"	253	"Serviceberry"
2426	1300	1	"D"	254	"Striped maple"
2427	1300	1	"E"	255	"Striped maple"
2428	1300	2	"A"	256	"White ash"
2429	1300	2	"B"	257	"White ash"
2430	1300	2	"C"	258	"Yellow birch"
2431	1300	2	"D"	259	"Yellow birch"
2432	1300	2	"E"	260	"Red oak"
2433	1300	3	"A"	261	"Red oak"
2434	1300	3	"B"	262	"Striped maple"
2435	1300	3	"C"	263	"Striped maple"
2436	1300	3	"D"	264	"American chestnut"
2437	1300	3	"E"	265	"American chestnut"
2438	1300	4	"A"	266	"Black cherry"
2439	1300	4	"B"	267	"Black locust"
2440	1300	4	"C"	268	"Black locust"
2441	1300	4	"D"	269	"Cucumber magnolia"
2442	1300	4	"E"	270	"Mountain winterberry"
2443	1300	5	"A"	271	"Mountain winterberry"
2444	1300	5	"B"	272	"Red maple"
2445	1300	5	"C"	273	"Red maple"
2446	1300	5	"D"	274	"Red oak"
2447	1300	5	"E"	275	"Red oak"
2448	1300	1	"A"	276	"Rhododendron"
2449	1300	1	"B"	277	"Rhododendron"
2450	1300	1	"C"	278	"Serviceberry"
2451	1300	1	"D"	279	"Serviceberry"
2452	1300	1	"E"	280	"Striped maple"
2453	1300	2	"A"	281	"Striped maple"
2454	1300	2	"B"	282	"White ash"
2455	1300	2	"C"	283	"Witch hazel"
2456	1300	2	"D"	284	"Yellow birch"
2457	1300	2	"E"	285	"Yellow birch"
2458	1300	3	"A"	286	"8"
2459	1300	3	"B"	287	"8"
2460	1300	3	"C"	288	"9"
2461	1300	3	"D"	289	"9"
2462	1300	3	"E"	290	"American chestnut"
2463	1300	4	"A"	291	"American chestnut"
2464	1300	4	"B"	292	"Black birch"
2465	1300	4	"C"	293	"Black locust"
2466	1300	4	"D"	294	"Black locust"
2467	1300	4	"E"	295	"Red maple"
2468	1300	5	"A"	296	"Red maple"
2469	1300	5	"B"	297	"Red oak"
2470	1300	5	"C"	298	"Red oak"
2471	1300	5	"D"	299	"Rhododendron"
2472	1300	5	"E"	300	"Rhododendron"
2473	1300	1	"A"	301	"Serviceberry"
2474	1300	1	"B"	302	"Striped maple"
2475	1300	1	"C"	303	"Striped maple"
2476	1300	1	"D"	304	"Witch hazel"
2477	1300	1	"E"	305	"Witch hazel"
2478	1300	2	"A"	306	"Yellow birch"
2479	1300	2	"B"	307	"Yellow birch"
2480	1300	2	"C"	308	"American chestnut"
2481	1300	2	"D"	309	"American chestnut"
2482	1300	2	"E"	310	"Mountain winterberry"
2483	1300	3	"A"	311	"Mountain winterberry"
2484	1300	3	"B"	312	"Pignut hickory"
2485	1300	3	"C"	313	"Red maple"
2486	1300	3	"D"	314	"Red maple"
2487	1300	3	"E"	315	"Red oak"
2488	1300	4	"A"	316	"Red oak"
2489	1300	4	"B"	317	"Rhododendron"
2490	1300	4	"C"	318	"Rhododendron"
2491	1300	4	"D"	319	"Serviceberry"
2492	1300	4	"E"	320	"Serviceberry"
2493	1300	5	"A"	321	"Striped maple"
2494	1300	5	"B"	322	"Striped maple"
2495	1300	5	"C"	323	"White ash"
2496	1300	5	"D"	324	"8"
2497	1300	5	"E"	325	"8"
2498	1300	1	"A"	326	"9"
2499	1300	1	"B"	327	"9"
2500	1300	1	"C"	328	"American beech"
2501	1300	1	"D"	329	"American beech"
2502	1300	1	"E"	330	"American chestnut"
2503	1300	2	"A"	331	"American chestnut"
2504	1300	2	"B"	332	"Black cherry"
2505	1300	2	"C"	333	"Red maple"
2506	1300	2	"D"	334	"Red maple"
2507	1300	2	"E"	335	"Red oak"
2508	1300	3	"A"	336	"Red oak"
2509	1300	3	"B"	337	"Rhododendron"
2510	1300	3	"C"	338	"Rhododendron"
